status,benchmark,model,data,split,sub_dataset,num_shots,tau,gamma,auc_pct,accuracy_pct,tpr1_fpr_pct,tpr5_fpr_pct,tpr10_fpr_pct,result_name,output_dir,roc_path,log_file
ok,wikimia25,gpt-5,SimMIA/WikiMIA-25,,paper_subset,7,0.005,0.4,77.7,73.9,3.5,29.2,39.8,wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p4,simmia_out/WikiMIA-25/paper_subset/gpt-5/7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7/wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p4_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_094240_wikimia25_gpt5_wpmia_refine/wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p4.log
ok,wikimia25,gpt-5,SimMIA/WikiMIA-25,,paper_subset,7,0.005,0.5,79.3,75.2,3.5,38.1,46.0,wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p5,simmia_out/WikiMIA-25/paper_subset/gpt-5/7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7/wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_094240_wikimia25_gpt5_wpmia_refine/wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p5.log
ok,wikimia25,gpt-5,SimMIA/WikiMIA-25,,paper_subset,7,0.005,0.6,80.2,76.1,2.7,40.7,48.7,wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p6,simmia_out/WikiMIA-25/paper_subset/gpt-5/7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7/wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p6_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_094240_wikimia25_gpt5_wpmia_refine/wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p6.log
ok,wikimia25,gpt-5,SimMIA/WikiMIA-25,,paper_subset,7,0.005,0.7,80.8,75.7,3.5,44.2,52.2,wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7/wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p7_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_094240_wikimia25_gpt5_wpmia_refine/wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p7.log
ok,wikimia25,gpt-5,SimMIA/WikiMIA-25,,paper_subset,7,0.005,0.75,80.9,74.3,1.8,45.1,52.2,wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p75,simmia_out/WikiMIA-25/paper_subset/gpt-5/7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7/wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_094240_wikimia25_gpt5_wpmia_refine/wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p75.log
ok,wikimia25,gpt-5,SimMIA/WikiMIA-25,,paper_subset,7,0.005,0.8,81.0,74.3,1.8,45.1,51.3,wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p8,simmia_out/WikiMIA-25/paper_subset/gpt-5/7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7/wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p8_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_094240_wikimia25_gpt5_wpmia_refine/wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p8.log
ok,wikimia25,gpt-5,SimMIA/WikiMIA-25,,paper_subset,7,0.005,0.9,81.1,74.8,1.8,46.0,52.2,wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p9,simmia_out/WikiMIA-25/paper_subset/gpt-5/7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7/wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p9_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_094240_wikimia25_gpt5_wpmia_refine/wikimia25_gpt-5_paper_subset_7_tau_0p005_gamma_0p9.log
ok,wikimia25,gpt-5,SimMIA/WikiMIA-25,,paper_subset,7,0.01,0.4,77.2,73.5,3.5,29.2,40.7,wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p4,simmia_out/WikiMIA-25/paper_subset/gpt-5/7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7/wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p4_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_094240_wikimia25_gpt5_wpmia_refine/wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p4.log
ok,wikimia25,gpt-5,SimMIA/WikiMIA-25,,paper_subset,7,0.01,0.5,78.7,74.3,3.5,38.1,43.4,wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p5,simmia_out/WikiMIA-25/paper_subset/gpt-5/7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7/wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_094240_wikimia25_gpt5_wpmia_refine/wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p5.log
ok,wikimia25,gpt-5,SimMIA/WikiMIA-25,,paper_subset,7,0.01,0.6,79.7,75.2,2.7,40.7,48.7,wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p6,simmia_out/WikiMIA-25/paper_subset/gpt-5/7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7/wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p6_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_094240_wikimia25_gpt5_wpmia_refine/wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p6.log
ok,wikimia25,gpt-5,SimMIA/WikiMIA-25,,paper_subset,7,0.01,0.7,80.3,75.2,2.7,44.2,48.7,wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7,simmia_out/WikiMIA-25/paper_subset/gpt-5/7/wpmia_wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p7_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_094240_wikimia25_gpt5_wpmia_refine/wikimia25_gpt-5_paper_subset_7_tau_0p01_gamma_0p7.log
