estimator,prefix_mode,length,auc_pct,num_examples,member_mean_score,nonmember_mean_score,min_score,max_score,model,num_shots,num_samples,tau,gamma,epsilon,embedding_model,source_records,score_path
exact_match,no_prefix,32,59.873961,760,-170.27063691677529,-188.81006872470945,-380.35906898738511,-52.311268805314853,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
exact_match,no_prefix,64,58.005428,502,-320.86266604188233,-345.6071036441075,-638.42900693128786,-63.835418114929091,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
exact_match,no_prefix,128,65.079512,208,-631.23632906162254,-699.63299951016256,-1018.1496801360112,-228.63526714559964,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length128/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
exact_match,nonmember_prefix,32,73.878116,760,1.0471999538253609,0.9125684561622488,0.46710598515321999,2.1194290097378814,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
exact_match,nonmember_prefix,64,72.629006,502,1.0344209066474592,0.94534553045210701,0.56890651018173743,1.6783121029619452,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
exact_match,nonmember_prefix,128,68.805473,208,1.0309789158531886,0.97527228968556245,0.82310644835098246,1.7938462134571167,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length128/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
exact_match,member_nonmember_contrast,32,81.003463,760,0.1116783747634307,-0.06843719384150386,-0.54475796600338799,0.83282765539211323,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
exact_match,member_nonmember_contrast,64,80.581261,502,0.06628092665492806,-0.06497745184969933,-0.44937941364518269,0.6122110032415512,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
exact_match,member_nonmember_contrast,128,75.499260,208,0.049958307442920555,-0.02640057559359673,-0.23572551176530965,0.64883753988391457,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length128/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
cosine_similarity,no_prefix,32,57.931440,760,-7.929828469889987,-8.3510303980022407,-12.452897524405152,-2.9535989675351422,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
